ID,imdb_title_id,title,original_title,Year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
45615,tt0460749,The Coffin,The Coffin,2008,10/30/2008,"Horror, Thriller",86,"South Korea, Thailand, Singapore, USA","Thai, English",Ekachai Uekrongtham,,Cineclick Asia,"Ananda Everingham, Florence Faivre, Andrew Lin, Karen Mok, Napakpapha Nakprasitte, Suchao Pongwilai, Micheal Pupart, Tassawan Seneewongse, Aki Shibuya, Asanee Suwan","Following the Thai custom to cheat death and rid oneself of bad luck, a man who lays in a coffin for an evening subsequently experiences a series of terrifying incidents.",4.2,590,,,"$5,044,344",,7,26
45629,tt0460812,Griffin & Phoenix,Griffin & Phoenix,2006,1/18/2007,"Comedy, Drama, Romance",102,USA,English,Ed Stone,John Hill,Sidney Kimmel Entertainment,"Amanda Peet, Dermot Mulroney, Sarah Paulson, Blair Brown, Alison Elliott, Lois Smith, Jonah Meyerson, Max Morris, Simon Jones, Jesse Tyler Ferguson, Susan Pourfar, Omar Scroggins, Adam Kulbersh, Adriane Lenox, Novella Nelson",GRIFFIN AND PHOENIX is a poignantly funny love story about two people who face a seemingly insurmountable obstacle that may stand between them and a last chance at love.,7,7053,,,"$1,355,967",,33,10
45640,tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,8/11/2017,Drama,89,USA,English,Marc Webb,Allan Loeb,Amazon Studios,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon, Kiersey Clemons, Tate Donovan, Wallace Shawn, Anh Duong, Debi Mazar, Ben Hollandsworth, John Bolger, Bill Camp, Richard Bekins, Ryan Speakman","Adrift in New York City, a recent college graduate's life is upended by his father's mistress.",6.3,9426,,"$624,332","$2,550,321",33,51,59
45656,tt0461209,Ek Khiladi Ek Haseena,Ek Khiladi Ek Haseena,2005,11/18/2005,"Comedy, Crime, Thriller",143,India,Hindi,Suparn Verma,Suparn Verma,Pritish Nandy Communications (PNC),"Fardeen Khan, Koena Mitra, Kay Kay Menon, Rakhi Sawant, Mumait Khan, Zabyn Khan, Feroz Khan, Kurush Deboo, Makrand Deshpande, Mukul Dev, Gulshan Grover, Amin Hajee, Shoaib Hassan, Sharad S. Kapoor, Kamini Khanna","Meet Arjun Verma, a conman who plays the biggest odds and wins. Trained in the belly of Bombay, he knows how to score with women, money, and the law. His playground is his alone - AND NOBODY F***S WITH THAT...",5.8,552,,"$90,869","$90,869",,14,4
45684,tt0461936,Don,Don,2006,10/20/2006,"Action, Crime, Thriller",171,India,Hindi,Farhan Akhtar,"Salim Khan, Javed Akhtar",Excel Entertainment,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Boman Irani, Om Puri, Pavan Malhotra, Rajesh Khattar, Tanay Chheda, Kareena Kapoor, Chunky Pandey, Diwakar Pundir, Sandrine Verrier Seth, Sidhart Jyoti, Shamsher Sidhu","A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.",7.2,32331,,"$2,223,961","$19,640,129",,175,28
45695,tt0462200,Black Snake Moan,Black Snake Moan,2006,5/18/2007,"Drama, Music",116,USA,English,Craig Brewer,Craig Brewer,Paramount Classics,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams, Leonard L. Thomas, Ruby Wilson, Claude Phillips, Amy Lavere, Clare Grant","A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, looks everywhere for love, never quite finding it.",6.9,59030,"$15,000,000","$9,396,870","$10,903,846",52,218,197
45712,tt0462335,High-Rise,High-Rise,2015,3/18/2016,Drama,119,UK,English,Ben Wheatley,"Amy Jump, J.G. Ballard",HanWay Films,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans, Elisabeth Moss, James Purefoy, Keeley Hawes, Peter Ferdinando, Sienna Guillory, Reece Shearsmith, Enzo Cilenti, Augustus Prew, Dan Renton Skinner, Stacy Martin, Tony Way",Life for the residents of a tower block begins to run out of control.,5.6,34829,,"$346,472","$4,289,074",65,167,331
45736,tt0462538,The Simpsons Movie,The Simpsons Movie,2007,7/25/2007,"Animation, Adventure, Comedy",87,USA,English,David Silverman,"James L. Brooks, Matt Groening",Twentieth Century Fox,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Harry Shearer, Pamela Hayden, Tress MacNeille, Albert Brooks, Karl Wiedergott, Marcia Wallace, Russi Taylor, Maggie Roswell, Philip Rosenthal, Billie Joe Armstrong","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the family are declared fugitives.",7.3,296792,"$75,000,000","$183,135,014","$527,071,022",80,842,305
45786,tt0463984,The Far Side of Jericho,The Far Side of Jericho,2006,12/10/2006,Western,99,USA,English,Tim Hunter,"Rob Sullivan, James Crumley",Further Productions,"Suzanne Andrews, Judith Burnett, Lissa Negrin, Patrick Bergin, Lawrence Pressman, James Gammon, John Diehl, C. Thomas Howell, Jason Connery, Bill Doyle, Zachary Ray Sherman, Tim DeKay, Constance Forslund, Vanessa Zima, John Ericson","Jericho. In the 1880's. Three women of the wild West, widows of an outlawed gang of brothers recently hanged, find themselves running for their lives from a corrupt posse of vigilantes, ...",4.5,283,"$2,000,000",,,40,8,4
45789,tt0463998,Freedom Writers,Freedom Writers,2007,3/2/2007,"Biography, Crime, Drama",123,"Germany, USA","English, Spanish",Richard LaGravenese,"Richard LaGravenese, Freedom Writers",Paramount Pictures,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith, Gabriel Chavarria, Hunter Parrish, Antonio GarcÃ­a","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.",7.5,63057,"$21,000,000","$36,605,602","$43,090,741",64,250,83
