ID,imdb_title_id,title,original_title,Year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
46,tt0004972,The Birth of a Nation,The Birth of a Nation,1915,3/21/1915,"Drama, History, War",195,USA,,D.W. Griffith,"Thomas Dixon Jr., Thomas Dixon Jr.",David W. Griffith Corp.,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper, Mary Alden, Ralph Lewis, George Siegmann, Walter Long, Robert Harron, Wallace Reid, Joseph Henabery, Elmer Clifton, Josephine Crowell, Spottiswoode Aitken, George Beranger","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",6.4,20885,"$100,000",,,,353,94
50,tt0005339,A Fool There Was,A Fool There Was,1915,1/12/1915,Drama,67,USA,English,Frank Powell,Porter Emerson Browne,Fox Film Corporation,"Runa Hodges, Mabel Frenyear, Edward Jos̩, May Allison, Clifford Bruce, Theda Bara, Victor Benoit, Frank Powell, Minna Gale, Creighton Hale",A married diplomat falls hopelessly under the spell of a predatory woman.,5.8,728,,,,,19,14
74,tt0006864,Intolerance: Love's Struggle Throughout the Ages,Intolerance: Love's Struggle Throughout the Ages,1916,2/24/1918,"Drama, History",163,USA,,D.W. Griffith,"D.W. Griffith, Anita Loos",Triangle Film Corporation,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne, Julia Mackley, Miriam Cooper, Walter Long, Tom Wilson, Ralph Lewis","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",7.8,13116,"$385,907",,,93,105,77
125,tt0009559,A Romance of Happy Valley,A Romance of Happy Valley,1919,1/26/1919,"Drama, Romance",76,USA,English,D.W. Griffith,D.W. Griffith,D.W. Griffith Productions,"Lillian Gish, Robert Harron, George Fawcett, Kate Bruce, George Nichols, Bertram Grassby, Porter Strong, Adolph Lestina, Lydia Yeamans Titus, Andrew Arbuckle, Frances Sparks","John Logan leaves his parents and sweetheart in bucolic Happy Valley to make his fortune in the city. Those he left behind become miserable and beleaguered in his absence, but after several...",6.1,316,,,,,7,1
128,tt0009652,Stella Maris,Stella Maris,1918,1/21/1918,Drama,84,USA,,Marshall Neilan,"William J. Locke, Frances Marion",Pickford Film,"Mary Pickford, Ida Waterman, Herbert Standing, Conway Tearle, Marcia Manon, Josephine Crowell",Two young women - a paraplegic girl sheltered by her wealthy guardians and a more experienced orphan - fall in love with a man separated from his violent wife.,6.7,1323,,,,,19,10
129,tt0009682,Tarzan of the Apes,Tarzan of the Apes,1918,1/27/1918,"Action, Adventure",73,USA,,Scott Sidney,"Edgar Rice Burroughs, Fred Miller",National Film Corporation of America,"Elmo Lincoln, Enid Markey, True Boardman, Kathleen Kirkham, George B. French, Gordon Griffith, Colin Kenny, Thomas Jefferson, Bessie Toner, Jack Wilson, Louis Morrison, Eugene Pallette, Fred L. Wilson","Kohn and Alice Clayton set sail for Africa. Mutineers maroon them. After his parents die, the newborn Tarzan is taken by a great Ape, Kala. Later the boy finds his father's knife and uses ...",5.7,631,,"$3,270,000",,,13,16
217,tt0011841,Way Down East,Way Down East,1920,9/3/1920,"Drama, Romance",145,USA,,D.W. Griffith,"Lottie Blair Parker, William A. Brady",D.W. Griffith Productions,"Lillian Gish, Richard Barthelmess, Mrs. David Landau, Lowell Sherman, Burr McIntosh, Josephine Bernard, Mrs. Morgan Belmont, Patricia Fruen, Florence Short, Kate Bruce, Vivia Ogden, Porter Strong, George Neville, Edgar Nelson, Mary Hay","A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",7.5,4734,"$700,000",,,,49,26
248,tt0012532,Orphans of the Storm,Orphans of the Storm,1921,1922,"Drama, History, Romance",150,USA,English,D.W. Griffith,"Adolphe d'Ennery, Eug̬ne Cormon",D.W. Griffith Productions,"Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee, Katherine Emmet, Morgan Wallace, Lucille La Verne, Sheldon Lewis, Frank Puglia, Creighton Hale, Monte Blue, Sidney Herbert, Lee Kohlmar, Marcia Harris, Adolph Lestina","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",7.4,4475,"$1,000,000",,,,39,21
310,tt0014029,The Extra Girl,The Extra Girl,1923,10/28/1923,"Comedy, Romance",68,USA,English,F. Richard Jones,"Bernard McConville, Mack Sennett",Mack Sennett Comedies,"Mabel Normand, Ralph Graves, George Nichols, Anna Dodge, Vernon Dent, Ramsey Wallace, Charlotte Mineau, Mary Mason, Max Davidson, Louise Carver, William Desmond, Carl Stockdale, Harry Gribbon, Billy Bevan, George Beranger",Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives ...,6.6,1041,,,,,14,4
360,tt0015119,The Marriage Circle,The Marriage Circle,1924,2/10/1924,Comedy,85,USA,,Ernst Lubitsch,"Paul Bern, Lothar Schmidt",Warner Bros.,"Florence Vidor, Monte Blue, Marie Prevost, Creighton Hale, Adolphe Menjou, Harry Myers, Dale Fuller, Esther Ralston","Professor Stock and his wife Mizzi are always bickering. Mizzi tries to seduce Dr. Franz Braun, the new husband of her good friend Charlotte. Dr. Braun's colleague, Dr. Mueller, who has had...",7.2,1002,"$212,000",,,,9,10
389,tt0015758,Don Q Son of Zorro,Don Q Son of Zorro,1925,6/15/1925,"Adventure, Romance",111,USA,English,Donald Crisp,"Kate Prichard, Hesketh Prichard",Elton Corporation,"Mary Astor, Jack McDonald, Donald Crisp, Stella De Lanti, Warner Oland, Jean Hersholt, Albert MacQuarrie, Lottie Pickford, Charles Stevens, Tote Du Crow, Martha Franklin, Juliette Belanger, Roy Coulson, Enrique Acosta, Douglas Fairbanks","Don Cesar, son of Zorro, is framed for murder while visiting Spain, and becomes the whip-wielding outlaw Don Q.",7,384,,,,,10,7
409,tt0016028,Little Annie Rooney,Little Annie Rooney,1925,10/18/1925,"Drama, Comedy",94,USA,"English, Greek",William Beaudine,"Mary Pickford, Hope Loring",Mary Pickford Company,"Mary Pickford, William Haines, Walter James, Gordon Griffith, Carlo Schipa, Spec O'Donnell, Hugh Fay, Vola Vale, Joe Butterworth, Oscar Rudolph","The tenements are home to an international community, including the friends and family of a tough young ragamuffin named Annie Rooney, but their neighborhood may be threatened by a dangerous street gang.",6.7,854,,"$1,100,000",,,16,5
465,tt0016822,Ella Cinders,Ella Cinders,1926,6/6/1926,"Comedy, Romance",75,USA,English,Alfred E. Green,"Mervyn LeRoy, Frank Griffin",John McCormick Productions,"Colleen Moore, Lloyd Hughes, Vera Lewis, Doris Baker, Emily Gerdes, Mike Donlin, Jed Prouty, Jack Duffy, Harry Allen, Alfred E. Green, D'Arcy Corrigan, Madalynne Field","Poor Ella Cinders is much abused by her evil step-mother and step-sisters. When she wins a local beauty contest she jumps at the chance to get out of her dead-end life and go to Hollywood, ...",6.7,860,,,,,14,6
525,tt0017667,The Beloved Rogue,The Beloved Rogue,1927,3/12/1927,"Adventure, Drama, History",99,USA,English,Alan Crosland,"Paul Bern, George Marion Jr.",Feature Productions,"John Barrymore, Conrad Veidt, Marceline Day, Lawson Butt, Henry Victor, Slim Summerville, Mack Swain, Angelo Rossitto, Nigel De Brulier, Lucy Beaumont, Otto Matieson, Jane Winton, Rose Dione, Bertram Grassby, Dick Sutherland","Fran̤ois Villon, in his lifetime the most renowned poet in France, is also a prankster, an occasional criminal, and an ardent patriot.",6.9,683,,,,,14,6
539,tt0017925,The General,The General,1926,2/24/1927,"Action, Adventure, Comedy",67,USA,English,"Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman",Buster Keaton Productions,"Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom, Charles Henry Smith, Frank Barnes, Joe Keaton, Mike Donlin, Tom Nawn, Buster Keaton","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",8.1,73744,"$750,000",,,,268,113
681,tt0019690,Big News,Big News,1929,9/7/1929,"Comedy, Crime, Mystery",75,USA,English,Gregory La Cava,"George S. Brooks, Walter DeLeon",Path̩ Exchange,"Robert Armstrong, Carole Lombard, Louis Payne, Wade Boteler, Charles Sellon, Sam Hardy, Tom Kennedy, Warner Richmond, Helen Ainsworth, Herbert Clark, Gertrude Sutton, James Donlan, George 'Gabby' Hayes, Vernon Steele, Clarence Wilson",A reporter's marriage is jeopardized by his drinking and he finds himself accused of a murder he didn't commit.,5.4,176,,,,,12,3
1263,tt0023038,The Hurricane Express,The Hurricane Express,1932,8/1/1932,"Action, Adventure, Crime",227,USA,English,"J.P. McGowan, Armand Schaefer","Colbert Clark, Barney A. Sarecky",Mascot Pictures,"Tully Marshall, Conway Tearle, John Wayne, Shirley Grey, Edmund Breese, Lloyd Whitlock, Al Bridge, Matthew Betz, Joseph W. Girard, James P. Burtis, Ernie Adams, Charles King, J. Farrell MacDonald, Al Ferguson, Glenn Strange","When his father is killed in a train wreck, Larry Baker vows to unmask a mysterious criminal called ""The Wrecker,"" who has targeted the L&M Railroad for deadly"" accidents.""",5.4,476,,,,,12,6
2074,tt0028510,Winds of the Wasteland,Winds of the Wasteland,1936,7/6/1936,"Comedy, Romance, Western",54,USA,English,Mack V. Wright,"Joseph F. Poland, Joseph F. Poland",Paul Malvern Productions,"John Wayne, Phyllis Fraser, Lew Kelly, Douglas Cosgrove, Lane Chandler, Sam Flint, Bob Kortman, Ed Cassidy, Jon Hall, Merrill McCormick, Christian J. Frank, Jack Rockwell, Arthur Millett, Tracy Layne",The arrival of the telegraph put Pony Express riders like John Blair and his pal Smoky out of work. A race will decide whether they or stageline owner Drake get the government mail contract.,6.1,792,,,,,20,3
2075,tt0028511,Winterset,Winterset,1936,12/3/1936,"Crime, Drama, Romance",77,USA,English,Alfred Santell,"Maxwell Anderson, Anthony Veiller",RKO Radio Pictures,"Burgess Meredith, Margo, Eduardo Ciannelli, John Carradine, Edward Ellis, Maurice Moscovitch, Paul Guilfoyle, Stanley Ridges, Mischa Auer, Willard Robertson, Alec Craig, Myron McCormick, Helen Jerome Eddy, Barbara Pepper, Fernanda Eliscu","Immigrant radical Bartolomeo Romagna is falsely condemned and executed for a payroll robbery. Years later, his son Mio sets out to find the truth of the crime and to bring to account the ...",6.3,314,,,,,15,10
2206,tt0029102,Lady Behave!,Lady Behave!,1937,12/22/1937,"Comedy, Romance",70,USA,English,Lloyd Corrigan,"Joseph Krumgold, Olive Cooper",Republic Pictures (I),"Sally Eilers, Neil Hamilton, Joseph Schildkraut, Grant Mitchell, Patricia Farr, Marcia Mae Jones, George Ernest, Warren Hymer, Robert Greig, Charles Richman, Spencer Charters, Mary Gordon","It's bad enough that Clarice Kendall Andrews, Paula's irresponsible sister, comes home from celebrating Mardi Gras and drunkenly mentions that she got married during the festivities. What's...",6.3,144,,,,,8,2
2915,tt0032881,Our Town,Our Town,1940,5/24/1940,"Drama, Romance",90,USA,English,Sam Wood,"Thornton Wilder, Thornton Wilder",Sol Lesser Productions,"William Holden, Martha Scott, Fay Bainter, Beulah Bondi, Thomas Mitchell, Guy Kibbee, Stuart Erwin, Frank Craven, Doro Merande, Philip Wood, Ruth Tobey, Douglas Gardner, Arthur B. Allen, Charles Trowbridge, Spencer Charters",Change comes slowly to a small New Hampshire town in the early 20th century.,6.6,2146,,,,,55,13
2919,tt0032903,Phantom of Chinatown,Phantom of Chinatown,1940,11/18/1940,"Action, Crime, Drama",62,USA,English,Phil Rosen,"George Waggner, Ralph Gilbert Bettison",Monogram Pictures,"Keye Luke, Lotus Long, Grant Withers, Charles Miller, Huntley Gordon, Virginia Carpenter, John Dilson, Paul McVey, John Holland, Richard Terry, Robert Kellard, Willy Castello, Lee Tung Foo","Detective James Lee Wong is on the scene as archaeologist Dr. John Benton, recently returned from an expedition in China where a valuable ancient scroll was recovered, is murdered while giving a lecture on the expedition.",6.2,445,,,,,23,13
613,tt0018876,The Farmer's Wife,The Farmer's Wife,1928,2/3/1929,"Comedy, Drama, Romance",100,UK,English,Alfred Hitchcock,"Eden Phillpotts, Eliot Stannard",British International Pictures (BIP),"Jameson Thomas, Lillian Hall-Davis, Gordon Harker, Gibb McLaughlin, Maud Gill, Louie Pounds, Olga Slade, Ruth Maitland, Antonia Brough, Haward Watts, Mollie Ellis","After his daughter weds, a middle-aged widower with a profitable farm decides to remarry, but finds choosing a suitable mate a problematic process.",5.9,2284,,,,,39,22
654,tt0019421,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",1928,5/20/1928,"Action, Comedy, Drama",70,USA,English,"Charles Reisner, Buster Keaton",Carl Harbaugh,Buster Keaton Productions,"Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis, Marion Byron",The effete son of a cantankerous riverboat captain comes to join his father's crew.,7.9,11996,,,,,72,65
714,tt0019946,The Great Gabbo,The Great Gabbo,1929,4/18/1930,"Drama, Musical, Romance",92,USA,"German, English","James Cruze, Erich von Stroheim","Ben Hecht, Hugh Herbert",James Cruze Productions,"Erich von Stroheim, Betty Compson, Donald Douglas, Marjorie Kane","An insanely, egocentric ventriloquist, even though he is possessed by his wooden dummy, is in love with a dancer who is in love with another. The dummy gives advice to the ventriloquist.",6.1,653,,,,,24,16
763,tt0020305,The Racketeer,The Racketeer,1929,11/9/1929,"Crime, Drama, Thriller",68,USA,English,Howard Higgin,"Paul Gangelin, Paul Gangelin",Path̩ Exchange,"Robert Armstrong, Carole Lombard, Roland Drew, Paul Hurst, Kit Guard, Al Hill, Bobby Dunn, Budd Fine, Hedda Hopper, Jeanette Loff, John Loder, Winter Hall, Winifred Harris",A dapper gangster sponsors an alcoholic violinist in order to win the love of a glamorous divorced socialite.,5.5,333,,,,,20,6
845,tt0020828,Dixiana,Dixiana,1930,10/31/1930,"Comedy, Drama, Music",100,USA,English,Luther Reed,"Luther Reed, Anne Caldwell",RKO Radio Pictures,"Bebe Daniels, Everett Marshall, Bert Wheeler, Robert Woolsey, Joseph Cawthorn, Jobyna Howland, Dorothy Lee, Ralf Harolde, Bill Robinson","In antebellum New Orleans, two men vie for the affections of a beautiful young girl during Mardi Gras.",5.3,298,,,,,21,10
864,tt0020945,Half Shot at Sunrise,Half Shot at Sunrise,1930,1/2/1931,"Comedy, Musical",78,USA,"English, French",Paul Sloane,"James Ashmore Creelman, Anne Caldwell",RKO Radio Pictures,"Bert Wheeler, Robert Woolsey, Dorothy Lee, George MacFarlane, Edna May Oliver, Leni Stengel, Hugh Trevor, Roberta Robinson, Jack Rutherford, Original John Tiller Girls","The stage stars Wheeler and Woolsey play two soldiers who go absent without leave in Paris, during World War I.",6.1,283,"$529,000",,,,15,11
890,tt0021092,The Pay-Off,The Pay-Off,1930,11/28/1930,"Action, Crime, Drama",65,USA,English,Lowell Sherman,"Samuel Shipman, John B. Hymer",RKO Radio Pictures,"Lowell Sherman, Marian Nixon, Hugh Trevor, George F. Marion, William Janney, Helene Millard, Walter McGrail, Robert McWade, Alan Roscoe, Lita Chevret, Bert Moorhouse","A thug robs a young engaged couple of their last few dollars. When the thug's gang boss hears of the robbery, he gives them back their money and takes them under his wing. The thug, ...",5.6,206,,,,,15,4
900,tt0021134,The Medicine Man,The Medicine Man,1930,6/15/1930,"Comedy, Romance",66,USA,English,Scott Pembroke,"Ladye Horton, Elliott Lester",Tiffany Productions,"Jack Benny, Betty Bronson, E. Alyn Warren, Eva Novak, Billy Butts, Adolph Milar, George E. Stone, Tom Dugan, Vadim Uraneff, Caroline Rankin, Dorothea Wolbert",The son and daughter of an abusive shopkeeper turn to a medicine show salesman for help.,5,185,,,,,9,1
907,tt0021165,Murder!,Murder!,1930,11/7/1930,"Crime, Mystery, Thriller",104,UK,English,Alfred Hitchcock,"Clemence Dane, Helen Simpson",British International Pictures (BIP),"Herbert Marshall, Norah Baring, Phyllis Konstam, Edward Chapman, Miles Mander, Esme Percy, Donald Calthrop, Esme V. Chaplin, Amy Brandon Thomas, Joynson Powell, S.J. Warmington, Marie Wright, Hannah Jones, Una O'Connor, R.E. Jeffrey","A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.",6.4,5217,,,,,65,39
947,tt0021377,Sin Takes a Holiday,Sin Takes a Holiday,1930,11/10/1930,"Comedy, Romance",81,USA,English,Paul L. Stein,"Horace Jackson, Robert Milton",Path̩ Exchange,"Constance Bennett, Kenneth MacKenna, Basil Rathbone, Rita La Roy, Louis John Bartels, John Roche, Zasu Pitts, Kendall Lee, Muriel Finley, Judith Wood, Fred Walton","Dowdy Sylvia accepts her boss' marriage proposal, even though he only asked her to avoid marriage to another woman. As a wealthy wife, Sylvia changes from ugly duckling to uninhibited swan ...",6.2,437,"$450,000",,,,11,6
989,tt0021649,Behind Office Doors,Behind Office Doors,1931,9/4/1931,"Drama, Romance",82,USA,English,Melville W. Brown,"Alan Schultz, Carey Wilson",RKO Radio Pictures,"Mary Astor, Robert Ames, Ricardo Cortez, Catherine Dale Owen, Kitty Kelly, Edna Murphy, Charles Sellon, William Morris, George MacFarlane",Mary Linden is the secretary who is the unheralded power behind successful executive James Duneen. He takes her for granted until rival Wales tries to take her away from him.,6.2,327,,,,,16,2
1012,tt0021764,Corsair,Corsair,1931,11/28/1931,Adventure,75,USA,English,Roland West,"Walton Green, Roland West",Art Cinema Corporation,"Chester Morris, Thelma Todd, Fred Kohler, Ned Sparks, Emmett Corrigan, William Austin, Frank McHugh, Frank Rice, Mayo Methot, Gay Seabrook, Addie McPhail, Al Hill, Pat Hartigan, Sidney D'Albrook",A stock market broker plans to liven up his boring life by taking up piracy on the high seas.,5.8,161,,,,,14,5
1029,tt0021828,East of Borneo,East of Borneo,1931,1/29/1932,Adventure,77,USA,English,George Melford,"Edwin H. Knopf, Dale Van Every",Universal Pictures,"Rose Hobart, Charles Bickford, Georges Renavent, Lupita Tovar, Noble Johnson, Tom London",Woman treks through jungle to find her missing husband.,5.7,147,,,,,11,1
1034,tt0021861,Fighting Caravans,Fighting Caravans,1931,11/13/1931,"Romance, Western",92,USA,English,"Otto Brower, David Burton","Zane Grey, Edward E. Paramore Jr.",Paramount Pictures,"Gary Cooper, Lili Damita, Ernest Torrence, Tully Marshall, Fred Kohler, Eugene Pallette, Roy Stewart, May Boley, Eve Southern, Frank Campeau, Charles Winninger, Frank Hagney","A young frontier scout helps guide a freight wagon train across the country, fighting off Indians and evil traders, while his two crusty companions try and save him from falling in love.",5.7,488,,,,,18,6
1043,tt0021890,The Front Page,The Front Page,1931,1/22/1932,Comedy,101,USA,English,Lewis Milestone,"Ben Hecht, Charles MacArthur",The Caddo Company,"Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton, Walter Catlett, George E. Stone, Mae Clarke, Slim Summerville, Matt Moore, Frank McHugh, Clarence Wilson, Fred Howard, Phil Tead, Eugene Strong, Spencer Charters",An investigative reporter sees an opportunity for the story of a lifetime when an accused murderer escapes hanging.,6.7,2128,,"$1,526,000",,,33,34
1073,tt0022046,The Lady Refuses,The Lady Refuses,1931,3/8/1931,"Drama, Romance",72,USA,English,George Archainbaud,"Robert Milton, Guy Bolton",RKO Radio Pictures,"Betty Compson, John Darrow, Gilbert Emery, Margaret Livingston, Ivan Lebedeff, Edgar Norton, Daphne Pollard",Father hires a woman to lure his son away from a gold digger.,6,234,,,,,9,6
1081,tt0022086,Lonely Wives,Lonely Wives,1931,2/22/1931,"Comedy, Romance",85,USA,English,Russell Mack,"A.H. Woods, Walter DeLeon",Path̩ Exchange,"Edward Everett Horton, Esther Ralston, Laura La Plante, Patsy Ruth Miller, Spencer Charters, Maude Eburne, Maurice Black","A lonely husband, whose wife has been away, hires a look-a-like impersonator to fill his place and fool his mother-in-law while he plays around with a pretty coquette. His wife returns that night and confusion prevails.",6.3,289,,,,,13,4
1137,tt0022326,The Royal Bed,The Royal Bed,1931,5/29/1931,Comedy,75,USA,English,Lowell Sherman,"J. Walter Ruben, Robert E. Sherwood",RKO Radio Pictures,"Lowell Sherman, Mary Astor, Anthony Bushell, Hugh Trevor, Nance O'Neil, Robert Warwick, Gilbert Emery, Alan Roscoe, Frederick Burt, J. Carrol Naish, Nancy Lee Blaine, Lita Chevret, Desmond Roberts","The hapless king of a small European nation must put up with a domineering queen, a daughter who wants to elope with her boyfriend, a peasant revolt and a scheming son who wants to be king ...",5.9,132,,,,,9,1
1144,tt0022373,The Sleeping Cardinal,The Sleeping Cardinal,1931,3/20/1931,"Crime, Mystery",84,UK,English,Leslie S. Hiscott,"Arthur Conan Doyle, Cyril Twyford",Julius Hagen Productions,"Arthur Wontner, Ian Fleming, Minnie Rayner, Leslie Perrins, Jane Welsh, Norman McKinnel, William Fazan, Sydney King, Philip Hewland, Gordon Begg, Louis Goodrich, Harry Terry, Charles Paton",A card cheat is threatened with exposure into joining a criminal enterprise that Holmes believes is controlled by Professor Moriarty.,6,291,,,,,15,7
1160,tt0022436,Street Scene,Street Scene,1931,9/5/1931,"Drama, Romance",80,USA,English,King Vidor,"Elmer Rice, Elmer Rice",The Samuel Goldwyn Company,"Sylvia Sidney, William Collier Jr., Estelle Taylor, Beulah Bondi, David Landau, Matt McHugh, Russell Hopton, Greta Granstedt, Eleanor Wesselhoeft, Allen Fox, Nora Cecil, Margaret Robertson, Walter James, Max Montor, Walter Miller",Twenty-four hours elapse on the stoop of a Hell's Kitchen tenement as a microcosm of the American melting pot interacts with each other during a summer heatwave.,7.6,1354,"$584,000",,,,31,17
1190,tt0022628,The Animal Kingdom,The Animal Kingdom,1932,12/28/1932,"Comedy, Drama, Romance",85,USA,English,"Edward H. Griffith, George Cukor","Horace Jackson, Philip Barry",RKO Radio Pictures,"Ann Harding, Leslie Howard, Myrna Loy, William Gargan, Neil Hamilton, Ilka Chase, Henry Stephenson, Leni Stengel, Don Dillaway","Based on a play by Philip Barry, this sophisticated comedy is about a man trying to justify his love for both his wife and his mistress.",6.4,875,"$458,000",,,,29,4
1238,tt0022879,A Farewell to Arms,A Farewell to Arms,1932,12/8/1932,"Drama, Romance, War",80,USA,English,Frank Borzage,"Benjamin Glazer, Oliver H.P. Garrett",Paramount Pictures,"Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips, Jack La Rue, Blanche Friderici, Mary Forbes, Gilbert Emery",An American ambulance driver and an English nurse fall in love in Italy during World War I.,6.5,4596,"$799,520",,,,57,45
1249,tt0022961,The Greeks Had a Word for Them,The Greeks Had a Word for Them,1932,2/13/1932,Comedy,79,USA,English,Lowell Sherman,"Zoe Akins, Sidney Howard",The Samuel Goldwyn Company,"Joan Blondell, Madge Evans, Ina Claire, David Manners, Lowell Sherman, Phillips Smalley, Sidney Bracey","Sophisticated comedy: a trio of money hungry women who all have sugar daddies who keep them in the lap of luxury, even as they drive the men crazy. Each woman represents a different ...",6.1,323,,,,,17,3
1256,tt0022991,Hell's House,Hell's House,1932,1/30/1932,Drama,72,USA,English,Howard Higgin,"Howard Higgin, Paul Gangelin",B.F. Zeidman Productions Ltd.,"Bette Davis, Pat O'Brien, Junior Durkin, Frank Coghlan Jr., Emma Dunn, Charley Grapewin, Morgan Wallace, Hooper Atchley, Wallis Clark, James A. Marcus","Jimmy idolizes bootlegger Matt, and when he refuses to implicate his friend, he is sent to reform school. He befriends Shorty, a boy with a heart condition, and escapes to let the world know about the brutal conditions.",6,914,,,,,47,14
1304,tt0023236,The Monster Walks,The Monster Walks,1932,2/10/1932,"Horror, Mystery",63,USA,English,Frank R. Strayer,"Robert Ellis, Robert Ellis",Ralph M. Like Productions,"Rex Lease, Vera Reynolds, Sheldon Lewis, Mischa Auer, Martha Mattox, Sidney Bracey, Willie Best",People in an old dark house on a stormy night are menaced by a killer ape.,4.1,756,,,,,43,16
1305,tt0023238,The Most Dangerous Game,The Most Dangerous Game,1932,9/16/1932,"Action, Adventure, Thriller",63,USA,"English, Russian","Irving Pichel, Ernest B. Schoedsack","James Ashmore Creelman, Richard Connell",Merian C. Cooper and Ernest Schoedsack,"Joel McCrea, Fay Wray, Robert Armstrong, Leslie Banks, Noble Johnson, Steve Clemente, William B. Davidson, Oscar 'Dutch' Hendrian",An insane hunter arranges for a ship to be wrecked on an island where he can indulge in some sort of hunting and killing of the passengers.,7.2,9505,"$218,869",,,,106,97
1308,tt0023243,Mr. Robinson Crusoe,Mr. Robinson Crusoe,1932,8/19/1932,"Action, Adventure, Comedy",76,USA,English,A. Edward Sutherland,"Douglas Fairbanks, Thomas J. Geraghty",Elton Productions,"Douglas Fairbanks, William Farnum, Earle Browne, Maria Alba","After making a bet, Steve strands himself on uninhabited island.",5.6,341,,,,,20,3
1329,tt0023333,The Phantom Express,The Phantom Express,1932,8/15/1932,"Mystery, Thriller",70,USA,English,Emory Johnson,"Laird Doyle, Emory Johnson",Emory Johnson Productions,"William Collier Jr., Sally Blane, J. Farrell MacDonald, Hobart Bosworth, Axel Axelson, Lina Basquette, Eddie Phillips, Robert Ellis, Claire McDowell, David Rollins, Tom O'Brien, Huntley Gordon, Brady Kline, Jack Pennick","A railway is threatened by mysterious wrecks, which turn out to be caused by criminals using a unique deception.",5.3,156,,,,,11,4
1348,tt0023424,The Savage Girl,The Savage Girl,1932,12/5/1932,"Adventure, Comedy",66,USA,English,Harry L. Fraser,Brewster Morse,Monarch Film Corporation,"Rochelle Hudson, Walter Byron, Harry Myers, Adolph Milar, Ted Adams, Floyd Shackelford",A white jungle goddess is protected by a fierce killer gorilla.,4.5,165,,,,,13,6
1365,tt0023498,Speak Easily,Speak Easily,1932,8/13/1932,Comedy,82,USA,English,Edward Sedgwick,Clarence Budington Kelland,Metro-Goldwyn-Mayer (MGM),"Buster Keaton, Jimmy Durante, Ruth Selwyn, Thelma Todd, Hedda Hopper, William Pawley, Sidney Toler, Lawrence Grant, Henry Armetta, Edward Brophy",A timid professor inherits a large sum of money and decides to fund a terrible musical.,5.9,789,,,,,27,15
1383,tt0023583,The Thirteenth Guest,The Thirteenth Guest,1932,8/9/1932,"Mystery, Thriller",69,USA,English,Albert Ray,"Armitage Trail, Frances Hyland",M.H. Hoffman Inc.,"Ginger Rogers, Lyle Talbot, J. Farrell MacDonald, Paul Hurst, Erville Alderson, Ethel Wales, James Eagles, Crauford Kent, Eddie Phillips, Frances Rich, Phillips Smalley",Murder of a woman sparks a search for a killer.,5.8,613,,,,,23,10
1408,tt0023694,White Zombie,White Zombie,1932,8/4/1932,Horror,69,USA,English,Victor Halperin,"Garnett Weston, Garnett Weston",Victor & Edward Halperin Productions,"Bela Lugosi, Madge Bellamy, Joseph Cawthorn, Robert Frazer, John Harron, Brandon Hurst, George Burr Macannan, Frederick Peters, Annette Stone, John T. Prince, Dan Crimmins, Claude Morgan, John Fergusson, Velma Gresham","A young man turns to a witch doctor to lure the woman he loves away from her fianc̩, but instead turns her into a zombie slave.",6.4,8592,"$50,000",,,,172,87
1452,tt0025586,Of Human Bondage,Of Human Bondage,1934,7/20/1934,"Drama, Romance",83,USA,English,John Cromwell,"Lester Cohen, W. Somerset Maugham",RKO Radio Pictures,"Leslie Howard, Bette Davis, Frances Dee, Kay Johnson, Reginald Denny, Alan Hale, Reginald Sheffield, Reginald Owen, Desmond Roberts, Charles Coleman, Frank Mills, Pat Somerset",A young man finds himself attracted to a cold and unfeeling waitress who may ultimately destroy them both.,7.2,5625,"$403,000",,,,96,35
